text,label
"AS in Business Admin , bachelors may have to wait because the college system in California is falling apart fast with tuition skyrocketing and admission shrinking .",0
"It then became a booming black town , and they ran it straight into the ground .",1
"Again, every time I will see filthy comment about Georgia without providing any facts , I will respond .",0
"They have their place , just like every other group .",0
"This is really not European news , but everybody should know that after years of Lebanese and other arabs intimmidating white women on Cronulla beach and after the cowardly attack on two white life-savers ( !! ) the Lebanese got theirs yesterday .",1
You mean adoption of this new found identity which in all reality is a Greek identity .,0
They are supporting the destruction of their future generations .,1
"All of the security guards i see are white but maybe , just maybe , i 'm blessed because no doubt these negro security guards abuse their power .",1
"You sound right , but at 5-10 feet in your bedroom ?",0
"All the jews I have ever known will do anything for money , and all I can say is there are no good jews",1
"Ever notice the way the mechanisations of the state , always side with their anti-fascist NWO goffers ?",0
"JAPs are a total hoot , each the center of the universe , loud , brash , vain , arrogant . . .",1
"You weather the zionist storm well , my brother .",1
Wolf 278,0
"Damn affirmative action they got the white house , now our beer halls , their is only one safe place left ... God 's save Iceland .",1
No white person should send a single penny or lift a single finger to help them .,1
I would n't be surprised if the government took more taxes off our pay checks so that Trudeau could feed and house more rapeugees that are flooding our country .,1
I am not Ukrainian but the Ukraine nationalists and right wing should understand that our white race in all nations in Europe North America Australia and South Africa along with any other white nations should support each other and join together against the Marxist multiculturistic agenda that 's invading every white nation and start to over through the powers to be that is responsible for this genocide and start considering deportation of non whites in white nations !,1
Imagine the groids licking their big lips when they see all those unsuspecting tourists walking around .,1
"I am a huge football fan but there is no way in hell I would go to South Africa this year , not even if somebody paid me 10 grand to go .",0
"More black-on-white savagery : YouTube - Racist Black gangs are targeting White men for hate crimes in Baltimore YouTube - White Boy Beat Up Because of Slavery YouTube - 32 gangbangers arrested in hate crime roundup for targeting Whites and Latinos YouTube - Violent , racist African immigrants",1
Not good news at all but this happens in all European nations and is no doubt pushed by the likes of Jews like Summer Redstone and MTV !!,1
-- A man wanted for attempted murder in New York City was killed Friday afternoon in an exchange of gunfire with officers with a fugitive task force who had gone to a Regency Square-area apartment to arrest him .,0
And they will flood into all white countries as much as they can !,1
Have you noticed when white 's beat on blacks they usually end it with one punch and then leave the ape alone .,1
21325 white Estonians singing patriotic and just beautiful songs .,0
Blacks have shown as they are able to survive all year round sitting on their arse waiting for comic relief .,1
Tell your friend he wins ; I 've now decided to make a video documentary about the Jewish Ritual Murder of Andrei Youshchinsky .,0
